ass_ref_id,ass_ref_name,country_id
80034,Tomas Mokrusch,1205
80038,Martin Wilczek,1205
80004,Simon Beck,1206
80006,Stephen Child,1206
80007,Jake Collin,1206
80014,Mike Mullarkey,1206
80026,Frederic Cano,1207
80028,Nicolas Danos,1207
80005,Mark Borsch,1208
80013,Stefan Lupp,1208
80016,Gyorgy Ring,1209
80020,Vencel Toth,1209
80033,Damien McGraith,1215
80008,Elenito Di Liberatore,1211
80019,Mauro Tonolini,1211
80021,Sander van Roekel,1226
80024,Erwin Zeinstra,1226
80025,Frank Andas,1229
80031,Kim Haglund,1229
80012,Tomasz Listkiewicz,1213
80018,Pawel Sokolnicki,1213
80029,Sebastian Gheorghe,1216
80036,Octavian Sovre,1216
80030,Nikolay Golubev,1217
80032,Tikhon Kalugin,1217
80037,Anton Averyanov,1217
80027,Frank Connor,1228
80010,Dalibor Durdevic,1227
80017,Milovan Ristic,1227
80035,Roman Slysko,1218
80001,Jure Praprotnik,1225
80002,Robert Vukan,1225
80003,Roberto Alonso Fernandez,1219
80023,Juan Yuste Jimenez,1219
80011,Mathias Klasenius,1220
80022,Daniel Warnmark,1220
80009,Bahattin Duran,1222
80015,Tarik Ongun,1222
