coach_id,coach_name
5550,Gianni De Biasi
5551,Marcel Koller
5552,Marc Wilmots
5553,Ante Cacic
5554,Pavel Vrba
5555,Roy Hodgson
5556,Didier Deschamps
5557,Joachim Low
5558,Bernd Storck
5559,Lars Lagerback
5560,Heimir Hallgrímsson
5561,Antonio Conte
5562,Michael ONeill
5563,Adam Nawalka
5564,Fernando Santos
5565,Martin ONeill
5566,Anghel Iordanescu
5567,Leonid Slutski
5568,Jan Kozak
5569,Vicente del Bosque
5570,Erik Hamren
5571,Vladimir Petkovic
5572,Fatih Terim
5573,Mykhailo Fomenko
5574,Chris Coleman
