referee_id,referee_name,country_id
70001,Damir Skomina,1225
70002,Martin Atkinson,1206
70003,Felix Brych,1208
70004,Cuneyt Cakir,1222
70005,Mark Clattenburg,1206
70006,Jonas Eriksson,1220
70007,Viktor Kassai,1209
70008,Bjorn Kuipers,1226
70009,Szymon Marciniak,1213
70010,Milorad Mazic,1227
70011,Nicola Rizzoli,1211
70012,Carlos Velasco Carballo,1219
70013,William Collum,1228
70015,Sergei Karasev,1217
70016,Pavel Kralovec,1205
70017,Svein Oddvar Moen,1229
70018,Clement Turpin,1207
70014,Ovidiu Hategan,1216
